system   D            wsystem.c:583  maybe_parent_dir                 [   0.00132] Also searching C:\Users\Maroofshahani\Desktop\AllegroProj\
display  D   display_settings.c:191  debug_display_settings           [   0.10920] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.10926] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10931] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10937] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10942] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10948] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10953] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.10961] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10967] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.10973] Single Buffer requirement not met.
